Course,Professor,Slot type,Student's class,Student's type,Visit duration (in minutes),Date (of the appointment/visit),Status (of the appointment/visit),
MATH 215,Pete Sallay,OneToOne,Senior,OnCampus,60,11/2/2021 11:30,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 113,Paul Johanson,OneToOne,Sophomore,OnCampus,60,11/2/2021 11:30,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 100B,Rich Llewellyn,OneToOne,Senior,OnCampus,60,11/2/2021 10:45,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 100B,Rich Llewellyn,OneToOne,Senior,OnCampus,60,11/2/2021 10:45,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 108X,Donald Baldwin,OneToOne,Sophomore,OnCampus,60,11/2/2021 10:20,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 100B,Kristin Ballou,OneToOne,Freshman,OnCampus,59,11/2/2021 10:15,Attended,
MATH 108X,Ryan Warr,OneToOne,Freshman,OnCampus,71,11/2/2021 10:15,Attended,
MATH 108X,Daris Howard,OneToOne,Sophomore,OnCampus,60,11/2/2021 10:15,Attended,
MATH 330,Sahar Qumsiyeh,OneToOne,Senior,OnCampus,60,11/2/2021 10:15,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 330,Sahar Qumsiyeh,OneToOne,Senior,OnCampus,60,11/2/2021 10:00,Attended,
MATH 341,John Sinkovic,OneToOne,Senior,OnCampus,60,11/2/2021 10:00,Unresolved,Math Study Center (Face-To-Face and Remote)
MATH 221C,Rachelle Wilkinson,OneToOne,Junior,Online,60,11/2/2021 10:00,Cancelled,Math Study Center (Face-To-Face and Remote)
MATH 221C,Andy Newey,OneToOne,Senior,Online,15,11/2/2021 10:00,Attended,
